Timestamp,What grade are you currently in?,Sex?  (As shown on birth certificate),If the elections for STUCO were today who would you vote for?
4/29/2018 23:07:04,10th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 23:26:48,10th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:31:17,10th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 23:38:36,10th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:44:41,10th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 23:54:21,10th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/30/2018 0:09:32,10th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/30/2018 0:11:01,10th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/30/2018 6:42:54,10th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/30/2018 7:11:20,10th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/30/2018 7:12:50,10th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/30/2018 7:28:13,10th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:18:50,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:19:10,11th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:19:17,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:19:37,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:19:46,11th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:21:30,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:21:32,11th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:22:22,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:22:36,11th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:23:17,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:23:38,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:24:51,11th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:25:32,11th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:25:47,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:25:53,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:26:54,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:34:28,11th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:34:35,11th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:34:36,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:34:37,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:35:02,11th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:35:12,11th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:35:17,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:35:48,11th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:36:06,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:37:27,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:37:49,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:41:14,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:41:25,11th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:42:25,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:43:48,11th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:44:09,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:45:40,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
